timestamp,hour,day_of_week,date,currentSpeed,freeFlowSpeed,confidence,congestion
2025-06-20T22:49:02.432903+02:00,22,4,2025-06-20,13,17,1,MEDIUM
2025-06-21T10:40:02.296409+02:00,10,5,2025-06-21,17,17,1,LOW
2025-06-23T13:56:01.758177+02:00,13,0,2025-06-23,17,17,1,LOW
2025-06-21T18:52:01.368892+02:00,18,5,2025-06-21,9,16,1,MEDIUM
2025-06-20T17:51:01.966450+02:00,17,4,2025-06-20,7,17,1,HIGH
2025-06-21T14:13:01.972519+02:00,14,5,2025-06-21,10,16,1,MEDIUM
2025-06-21T16:37:01.859636+02:00,16,5,2025-06-21,13,16,1,MEDIUM
2025-06-22T23:17:02.379540+02:00,23,6,2025-06-22,17,17,1,LOW
2025-06-20T21:04:02.161962+02:00,21,4,2025-06-20,17,17,1,LOW
2025-06-22T22:10:02.006965+02:00,22,6,2025-06-22,17,17,1,LOW
2025-06-21T15:10:01.747648+02:00,15,5,2025-06-21,13,17,1,MEDIUM
2025-06-21T12:17:02.182488+02:00,12,5,2025-06-21,11,16,1,MEDIUM
2025-06-21T18:07:01.827925+02:00,18,5,2025-06-21,7,16,1,HIGH
2025-06-21T20:08:02.167451+02:00,20,5,2025-06-21,3,17,1,HIGH
2025-06-22T23:20:01.630425+02:00,23,6,2025-06-22,17,17,1,LOW
2025-06-20T22:29:02.062346+02:00,22,4,2025-06-20,11,17,1,MEDIUM
2025-06-21T20:40:01.384476+02:00,20,5,2025-06-21,3,17,1,HIGH
2025-06-20T22:10:01.576623+02:00,22,4,2025-06-20,13,16,1,MEDIUM
2025-06-22T23:30:01.838207+02:00,23,6,2025-06-22,17,17,1,LOW
2025-06-21T17:39:01.368351+02:00,17,5,2025-06-21,6,15,1,HIGH
2025-06-21T14:40:01.466725+02:00,14,5,2025-06-21,17,17,1,LOW
2025-06-23T15:06:01.274265+02:00,15,0,2025-06-23,17,17,1,LOW
2025-06-21T19:09:01.828667+02:00,19,5,2025-06-21,4,18,1,HIGH
2025-06-22T23:53:01.686919+02:00,23,6,2025-06-22,17,17,1,LOW
2025-06-20T21:15:01.807965+02:00,21,4,2025-06-20,13,17,1,MEDIUM
2025-06-21T10:35:02.005944+02:00,10,5,2025-06-21,11,17,1,MEDIUM
2025-06-21T20:39:01.781479+02:00,20,5,2025-06-21,2,18,1,HIGH
2025-06-21T14:19:01.488480+02:00,14,5,2025-06-21,13,17,1,MEDIUM
2025-06-21T15:11:01.283441+02:00,15,5,2025-06-21,11,16,1,MEDIUM
2025-06-20T20:27:02.190034+02:00,20,4,2025-06-20,17,17,1,LOW
2025-06-21T18:43:02.172617+02:00,18,5,2025-06-21,5,16,1,HIGH
2025-06-21T14:34:01.902089+02:00,14,5,2025-06-21,17,17,1,LOW
2025-06-20T22:00:02.403536+02:00,22,4,2025-06-20,11,17,1,MEDIUM
2025-06-21T10:47:01.998480+02:00,10,5,2025-06-21,17,17,1,LOW
2025-06-21T19:03:01.692077+02:00,19,5,2025-06-21,10,16,1,MEDIUM
