timestamp,hour,day_of_week,date,currentSpeed,freeFlowSpeed,confidence,congestion
2025-06-20T17:41:02.540172+02:00,17,4,2025-06-20,5,17,1,HIGH
2025-06-20T17:42:02.252179+02:00,17,4,2025-06-20,5,17,1,HIGH
2025-06-20T17:43:02.078275+02:00,17,4,2025-06-20,5,16,1,HIGH
2025-06-20T17:44:01.919071+02:00,17,4,2025-06-20,9,16,1,MEDIUM
2025-06-20T17:45:01.718581+02:00,17,4,2025-06-20,9,16,1,MEDIUM
2025-06-20T17:46:01.863125+02:00,17,4,2025-06-20,8,15,1,MEDIUM
2025-06-20T17:47:01.541849+02:00,17,4,2025-06-20,8,15,1,MEDIUM
2025-06-20T17:48:02.546468+02:00,17,4,2025-06-20,6,17,1,HIGH
2025-06-20T17:49:01.490499+02:00,17,4,2025-06-20,6,17,1,HIGH
2025-06-20T17:50:02.616141+02:00,17,4,2025-06-20,5,18,1,HIGH
2025-06-20T17:51:01.966450+02:00,17,4,2025-06-20,7,17,1,HIGH
2025-06-20T17:52:01.991760+02:00,17,4,2025-06-20,8,18,1,HIGH
2025-06-20T17:53:01.882126+02:00,17,4,2025-06-20,9,17,1,MEDIUM
2025-06-20T17:54:01.742799+02:00,17,4,2025-06-20,9,16,1,MEDIUM
2025-06-20T17:55:01.585174+02:00,17,4,2025-06-20,11,16,1,MEDIUM
2025-06-20T17:56:02.770039+02:00,17,4,2025-06-20,11,16,1,MEDIUM
2025-06-20T17:57:01.939582+02:00,17,4,2025-06-20,17,17,1,LOW
2025-06-20T17:58:01.738945+02:00,17,4,2025-06-20,17,17,1,LOW
2025-06-20T17:59:01.748938+02:00,17,4,2025-06-20,17,17,1,LOW
2025-06-20T18:00:01.657294+02:00,18,4,2025-06-20,13,17,1,MEDIUM
2025-06-20T18:01:02.509679+02:00,18,4,2025-06-20,11,16,1,MEDIUM
2025-06-20T18:02:01.642647+02:00,18,4,2025-06-20,17,17,1,LOW
2025-06-20T18:03:02.482618+02:00,18,4,2025-06-20,17,17,1,LOW
2025-06-20T18:04:01.629952+02:00,18,4,2025-06-20,17,17,1,LOW
2025-06-20T18:05:01.585444+02:00,18,4,2025-06-20,17,17,1,LOW
2025-06-20T18:06:01.479568+02:00,18,4,2025-06-20,17,17,1,LOW
2025-06-20T18:07:02.283050+02:00,18,4,2025-06-20,17,17,1,LOW
2025-06-20T18:08:02.256559+02:00,18,4,2025-06-20,17,17,1,LOW
2025-06-20T18:09:02.263004+02:00,18,4,2025-06-20,17,17,1,LOW
2025-06-20T18:10:02.202980+02:00,18,4,2025-06-20,17,17,1,LOW
2025-06-20T18:11:02.169857+02:00,18,4,2025-06-20,17,17,1,LOW
2025-06-20T18:12:02.172975+02:00,18,4,2025-06-20,17,17,1,LOW
2025-06-20T18:13:02.128430+02:00,18,4,2025-06-20,17,17,1,LOW
2025-06-20T18:14:02.167771+02:00,18,4,2025-06-20,17,17,1,LOW
2025-06-20T18:15:02.139160+02:00,18,4,2025-06-20,17,17,1,LOW
2025-06-20T18:16:02.055736+02:00,18,4,2025-06-20,11,16,1,MEDIUM
2025-06-20T18:17:01.981418+02:00,18,4,2025-06-20,11,16,1,MEDIUM
